celltype	feature_name	int_label	bio_label	label_key	feature_val
HAP-1	(09) initial exon	4	RegPermissive	RegPermissive_4	-0.6958728966759752
HAP-1	(01) H3K9me3	4	RegPermissive	RegPermissive_4	0.8914050490794236
HAP-1	(10) initial intron	4	RegPermissive	RegPermissive_4	0.09913332050451512
HAP-1	(02) H3K27me3	4	RegPermissive	RegPermissive_4	0.8188641603618906
HAP-1	(11) internal exons	4	RegPermissive	RegPermissive_4	-0.3422313839707548
HAP-1	(04) H3K4me3	4	RegPermissive	RegPermissive_4	0.6254102600172285
HAP-1	(16) 3' flanking (1000-10000 bp)	4	RegPermissive	RegPermissive_4	0.050006392577631065
HAP-1	(12) internal introns	4	RegPermissive	RegPermissive_4	-0.3129523740777222
HAP-1	(03) H3K36me3	4	RegPermissive	RegPermissive_4	0.9131157177286041
HAP-1	(13) terminal exon	4	RegPermissive	RegPermissive_4	-0.18759123247320844
HAP-1	(06) H3K4me1	4	RegPermissive	RegPermissive_4	0.8998141076035859
HAP-1	(14) terminal intron	4	RegPermissive	RegPermissive_4	-0.34307505585565257
HAP-1	(07) 5' flanking (1000-10000 bp)	4	RegPermissive	RegPermissive_4	0.08081485154204028
HAP-1	(05) H3K27ac	4	RegPermissive	RegPermissive_4	0.8826771062439721
HAP-1	(15) 3' flanking (1-1000 bp)	4	RegPermissive	RegPermissive_4	-0.01313855691409315
HAP-1	(08) 5' flanking (1-1000 bp)	4	RegPermissive	RegPermissive_4	-0.032153425158242384
HAP-1	(09) initial exon	8	RegPermissive	RegPermissive_8	-0.02373585820317568
HAP-1	(01) H3K9me3	8	RegPermissive	RegPermissive_8	0.7089808854188149
HAP-1	(10) initial intron	8	RegPermissive	RegPermissive_8	0.8083419978932775
HAP-1	(02) H3K27me3	8	RegPermissive	RegPermissive_8	0.6673328919945595
HAP-1	(11) internal exons	8	RegPermissive	RegPermissive_8	-0.3577258346748501
HAP-1	(04) H3K4me3	8	RegPermissive	RegPermissive_8	0.6102377302828762
HAP-1	(16) 3' flanking (1000-10000 bp)	8	RegPermissive	RegPermissive_8	0.11716153573328393
HAP-1	(12) internal introns	8	RegPermissive	RegPermissive_8	-0.4232207209838698
HAP-1	(03) H3K36me3	8	RegPermissive	RegPermissive_8	0.7713611104921045
HAP-1	(13) terminal exon	8	RegPermissive	RegPermissive_8	0.03822744302891637
HAP-1	(06) H3K4me1	8	RegPermissive	RegPermissive_8	1.3229312502327726
