celltype	feature_name	int_label	bio_label	label_key	feature_val
HAP-1	(09) initial exon	4	RegPermissive	RegPermissive_4	-0.6348999466321678
HAP-1	(01) H3K9me3	4	RegPermissive	RegPermissive_4	1.1198176649577227
HAP-1	(10) initial intron	4	RegPermissive	RegPermissive_4	-0.11481315835413607
HAP-1	(02) H3K27me3	4	RegPermissive	RegPermissive_4	0.7318369518908435
HAP-1	(11) internal exons	4	RegPermissive	RegPermissive_4	-0.19213572666279224
HAP-1	(04) H3K4me3	4	RegPermissive	RegPermissive_4	-0.09457838611696344
HAP-1	(16) 3' flanking (1000-10000 bp)	4	RegPermissive	RegPermissive_4	-0.23395231748344608
HAP-1	(12) internal introns	4	RegPermissive	RegPermissive_4	-0.12615708854722865
HAP-1	(03) H3K36me3	4	RegPermissive	RegPermissive_4	0.6487362539561534
HAP-1	(13) terminal exon	4	RegPermissive	RegPermissive_4	-0.5014468505939008
HAP-1	(06) H3K4me1	4	RegPermissive	RegPermissive_4	0.42221030940050885
HAP-1	(14) terminal intron	4	RegPermissive	RegPermissive_4	-0.5162156911146841
HAP-1	(07) 5' flanking (1000-10000 bp)	4	RegPermissive	RegPermissive_4	-0.1732787324251156
HAP-1	(05) H3K27ac	4	RegPermissive	RegPermissive_4	0.3583127488143129
HAP-1	(15) 3' flanking (1-1000 bp)	4	RegPermissive	RegPermissive_4	-0.3180838126972189
HAP-1	(08) 5' flanking (1-1000 bp)	4	RegPermissive	RegPermissive_4	-0.2852917655890868
HAP-1	(09) initial exon	8	RegPermissive	RegPermissive_8	-0.2022731007362044
HAP-1	(01) H3K9me3	8	RegPermissive	RegPermissive_8	0.29197816689324596
HAP-1	(10) initial intron	8	RegPermissive	RegPermissive_8	0.4889595512438562
HAP-1	(02) H3K27me3	8	RegPermissive	RegPermissive_8	0.15697274823389118
HAP-1	(11) internal exons	8	RegPermissive	RegPermissive_8	-0.2052482317995476
HAP-1	(04) H3K4me3	8	RegPermissive	RegPermissive_8	-0.11271465130079433
HAP-1	(16) 3' flanking (1000-10000 bp)	8	RegPermissive	RegPermissive_8	-0.09997745144987602
HAP-1	(12) internal introns	8	RegPermissive	RegPermissive_8	-0.22559528497781142
HAP-1	(03) H3K36me3	8	RegPermissive	RegPermissive_8	0.22985562924404754
HAP-1	(13) terminal exon	8	RegPermissive	RegPermissive_8	-0.19471854071392783
HAP-1	(06) H3K4me1	8	RegPermissive	RegPermissive_8	1.5671554805916534
HAP-1	(14) terminal intron	8	RegPermissive	RegPermissive_8	-0.2401255574602279
HAP-1	(07) 5' flanking (1000-10000 bp)	8	RegPermissive	RegPermissive_8	0.3955996458732857
HAP-1	(05) H3K27ac	8	RegPermissive	RegPermissive_8	0.4784860989913533
HAP-1	(15) 3' flanking (1-1000 bp)	8	RegPermissive	RegPermissive_8	-0.06379405874529466
HAP-1	(08) 5' flanking (1-1000 bp)	8	RegPermissive	RegPermissive_8	0.2359790304118757
HAP-1	(09) initial exon	1	Quiescent	Quiescent_1	-0.015806269661048294
HAP-1	(01) H3K9me3	1	Quiescent	Quiescent_1	-0.7955092193561527
HAP-1	(10) initial intron	1	Quiescent	Quiescent_1	-0.13115983492829933
HAP-1	(02) H3K27me3	1	Quiescent	Quiescent_1	-0.8178598802659535
HAP-1	(11) internal exons	1	Quiescent	Quiescent_1	-0.2849133660828673
HAP-1	(04) H3K4me3	1	Quiescent	Quiescent_1	-0.5029297764831271
HAP-1	(16) 3' flanking (1000-10000 bp)	1	Quiescent	Quiescent_1	0.02621889435939572
HAP-1	(12) internal introns	1	Quiescent	Quiescent_1	-0.09138768551676377
HAP-1	(03) H3K36me3	1	Quiescent	Quiescent_1	-0.9633989128430782
HAP-1	(13) terminal exon	1	Quiescent	Quiescent_1	-0.07866808589188287
HAP-1	(06) H3K4me1	1	Quiescent	Quiescent_1	-1.0774438822155226
HAP-1	(14) terminal intron	1	Quiescent	Quiescent_1	0.0673080595623471
HAP-1	(07) 5' flanking (1000-10000 bp)	1	Quiescent	Quiescent_1	-0.07110001989911027
HAP-1	(05) H3K27ac	1	Quiescent	Quiescent_1	-1.0442093683952152
HAP-1	(15) 3' flanking (1-1000 bp)	1	Quiescent	Quiescent_1	-0.13324619240371713
HAP-1	(08) 5' flanking (1-1000 bp)	1	Quiescent	Quiescent_1	-0.21897059330880553
HAP-1	(09) initial exon	12	FacultativeHet	FacultativeHet_12	-0.23402849196739267
HAP-1	(01) H3K9me3	12	FacultativeHet	FacultativeHet_12	0.6426233232167783
HAP-1	(10) initial intron	12	FacultativeHet	FacultativeHet_12	-0.1020560460043065
HAP-1	(02) H3K27me3	12	FacultativeHet	FacultativeHet_12	2.285784473549495
HAP-1	(11) internal exons	12	FacultativeHet	FacultativeHet_12	-0.236807202189659
HAP-1	(04) H3K4me3	12	FacultativeHet	FacultativeHet_12	-0.1881744611850845
HAP-1	(16) 3' flanking (1000-10000 bp)	12	FacultativeHet	FacultativeHet_12	-0.1463235685769777
HAP-1	(12) internal introns	12	FacultativeHet	FacultativeHet_12	-0.24025464075163666
HAP-1	(03) H3K36me3	12	FacultativeHet	FacultativeHet_12	0.002343741793124804
HAP-1	(13) terminal exon	12	FacultativeHet	FacultativeHet_12	-0.31052678060745176
HAP-1	(06) H3K4me1	12	FacultativeHet	FacultativeHet_12	-0.0758752593189185
HAP-1	(14) terminal intron	12	FacultativeHet	FacultativeHet_12	-0.20667065902235154
HAP-1	(07) 5' flanking (1000-10000 bp)	12	FacultativeHet	FacultativeHet_12	0.2126337281451703
HAP-1	(05) H3K27ac	12	FacultativeHet	FacultativeHet_12	-0.14959403835691779
HAP-1	(15) 3' flanking (1-1000 bp)	12	FacultativeHet	FacultativeHet_12	-0.2496095653763222
HAP-1	(08) 5' flanking (1-1000 bp)	12	FacultativeHet	FacultativeHet_12	-0.16224480050316842
HAP-1	(09) initial exon	10	RegPermissive	RegPermissive_10	-0.7647570848948929
HAP-1	(01) H3K9me3	10	RegPermissive	RegPermissive_10	0.3741449853250022
HAP-1	(10) initial intron	10	RegPermissive	RegPermissive_10	-0.7978032668938794
HAP-1	(02) H3K27me3	10	RegPermissive	RegPermissive_10	0.745760931201806
HAP-1	(11) internal exons	10	RegPermissive	RegPermissive_10	-0.7528316412740547
HAP-1	(04) H3K4me3	10	RegPermissive	RegPermissive_10	-0.23161718423998426
HAP-1	(16) 3' flanking (1000-10000 bp)	10	RegPermissive	RegPermissive_10	-0.8927105747529527
